tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892177421306343426,29359,5303,9269563,146756,2017-08-01 00:17:27+00:00
891815181378084864,22072,3486,9270022,146760,2017-07-31 00:18:03+00:00
891689557279858688,36936,7224,9269942,146756,2017-07-30 15:58:51+00:00
891327558926688256,35307,7773,9270022,146760,2017-07-29 16:00:24+00:00
891087950875897856,17809,2600,9269943,146756,2017-07-29 00:08:17+00:00
890971913173991426,10368,1670,9269943,146756,2017-07-28 16:27:12+00:00
890729181411237888,56905,15772,9269565,146756,2017-07-28 00:22:40+00:00
890609185150312448,24545,3627,9269944,146756,2017-07-27 16:25:51+00:00
890240255349198849,27968,6107,9270024,146760,2017-07-26 15:59:51+00:00
890006608113172480,27054,6158,9269944,146756,2017-07-26 00:31:25+00:00
889880896479866881,24582,4173,9269944,146756,2017-07-25 16:11:53+00:00
889665388333682689,42061,8360,9270024,146760,2017-07-25 01:55:32+00:00
889638837579907072,23684,3720,9269944,146756,2017-07-25 00:10:02+00:00
889531135344209921,13347,1885,9270024,146760,2017-07-24 17:02:04+00:00
889278841981685760,22110,4449,9270024,146760,2017-07-24 00:19:32+00:00
888917238123831296,25634,3769,9270024,146760,2017-07-23 00:22:39+00:00
888804989199671297,22474,3543,9269944,146756,2017-07-22 16:56:37+00:00
888554962724278272,17326,2881,9270024,146760,2017-07-22 00:23:06+00:00
888078434458587136,19150,2901,9270024,146760,2017-07-20 16:49:33+00:00
887705289381826560,26656,4542,9269565,146756,2017-07-19 16:06:48+00:00
887517139158093824,40729,9860,9269944,146756,2017-07-19 03:39:09+00:00
887473957103951883,60206,15047,9269944,146756,2017-07-19 00:47:34+00:00
887343217045368832,29585,8817,9270024,146760,2017-07-18 16:08:03+00:00
887101392804085760,26986,4998,9269944,146756,2017-07-18 00:07:08+00:00
886983233522544640,30406,6325,9270024,146760,2017-07-17 16:17:36+00:00
886736880519319552,10506,2635,9269944,146756,2017-07-16 23:58:41+00:00
886680336477933568,19748,3743,9270024,146760,2017-07-16 20:14:00+00:00
886366144734445568,18559,2633,9270024,146760,2017-07-15 23:25:31+00:00
886267009285017600,105,4,9269944,146756,2017-07-15 16:51:35+00:00
886258384151887873,24541,5298,9269944,146756,2017-07-15 16:17:19+00:00
886054160059072513,0,93,9270024,146760,2017-07-15 02:45:48+00:00
885984800019947520,28615,5620,9269944,146756,2017-07-14 22:10:11+00:00
885528943205470208,31617,5335,9270024,146760,2017-07-13 15:58:47+00:00
885518971528720385,18017,3110,9270024,146760,2017-07-13 15:19:09+00:00
885311592912609280,0,15451,9270024,146760,2017-07-13 01:35:06+00:00
885167619883638784,19265,3672,9270024,146760,2017-07-12 16:03:00+00:00
884925521741709313,67372,15044,9269565,146756,2017-07-12 00:01:00+00:00
884876753390489601,24388,4677,9269944,146756,2017-07-11 20:47:12+00:00
884562892145688576,21323,3917,9270024,146760,2017-07-11 00:00:02+00:00
884441805382717440,23875,4796,9270024,146760,2017-07-10 15:58:53+00:00
884247878851493888,63320,16937,9269944,146756,2017-07-10 03:08:17+00:00
884162670584377345,17951,2509,9269944,146756,2017-07-09 21:29:42+00:00
883838122936631299,19176,2866,9270024,146760,2017-07-09 00:00:04+00:00
883482846933004288,40223,8279,9270024,146760,2017-07-08 00:28:19+00:00
883360690899218434,19957,3086,9269944,146756,2017-07-07 16:22:55+00:00
883117836046086144,32531,5542,9270024,146760,2017-07-07 00:17:54+00:00
882992080364220416,20986,3249,9270024,146760,2017-07-06 15:58:11+00:00
882762694511734784,24810,4104,9270024,146760,2017-07-06 00:46:41+00:00
882627270321602560,24605,5071,9269944,146756,2017-07-05 15:48:34+00:00
882268110199369728,39219,9648,9270025,146760,2017-07-04 16:01:23+00:00
882045870035918850,25736,4086,9270025,146760,2017-07-04 01:18:17+00:00
881906580714921986,21450,2858,9270025,146760,2017-07-03 16:04:48+00:00
881666595344535552,44565,8969,9270025,146760,2017-07-03 00:11:11+00:00
881633300179243008,113,8,9269945,146756,2017-07-02 21:58:53+00:00
881536004380872706,43473,13414,9269945,146756,2017-07-02 15:32:16+00:00
881268444196462592,20487,4497,9270025,146760,2017-07-01 21:49:04+00:00
880935762899988482,15059,2335,9269945,146756,2017-06-30 23:47:07+00:00
880872448815771648,18709,3204,9269945,146756,2017-06-30 19:35:32+00:00
880465832366813184,25031,5220,9269945,146756,2017-06-29 16:39:47+00:00
880221127280381952,23673,3473,9269945,146756,2017-06-29 00:27:25+00:00
880095782870896641,24348,3656,9269945,146756,2017-06-28 16:09:20+00:00
879862464715927552,19721,2933,9269945,146756,2017-06-28 00:42:13+00:00
879674319642796034,281,9,9269945,146756,2017-06-27 12:14:36+00:00
879492040517615616,20711,2630,9269945,146756,2017-06-27 00:10:17+00:00
879415818425184262,92902,37448,9269945,146756,2017-06-26 19:07:24+00:00
879376492567855104,14860,2654,9269944,146756,2017-06-26 16:31:08+00:00
879130579576475649,0,5748,9270024,146760,2017-06-26 00:13:58+00:00
879050749262655488,19817,3959,9270024,146760,2017-06-25 18:56:45+00:00
879008229531029506,16786,2246,9269944,146756,2017-06-25 16:07:47+00:00
878776093423087618,17128,3440,9269944,146756,2017-06-25 00:45:22+00:00
878604707211726852,26452,5936,9269944,146756,2017-06-24 13:24:20+00:00
878404777348136964,0,1077,9270024,146760,2017-06-24 00:09:53+00:00
878316110768087041,0,5534,9270024,146760,2017-06-23 18:17:33+00:00
878281511006478336,6786,1077,9269944,146756,2017-06-23 16:00:04+00:00
878057613040115712,37157,5748,9270024,146760,2017-06-23 01:10:23+00:00
877736472329191424,69281,15837,9270024,146760,2017-06-22 03:54:17+00:00
877611172832227328,0,70,9270024,146760,2017-06-21 19:36:23+00:00
877556246731214848,19913,3174,9270024,146760,2017-06-21 15:58:08+00:00
877316821321428993,24159,4352,9269944,146756,2017-06-21 00:06:44+00:00
877201837425926144,23875,4637,9270024,146760,2017-06-20 16:29:50+00:00
876838120628539392,18226,2807,9270024,146760,2017-06-19 16:24:33+00:00
876537666061221889,21045,3976,9269944,146756,2017-06-18 20:30:39+00:00
876484053909872640,16576,2005,9269944,146756,2017-06-18 16:57:37+00:00
876120275196170240,24701,3909,9270024,146760,2017-06-17 16:52:05+00:00
875747767867523072,22124,3585,9269944,146756,2017-06-16 16:11:53+00:00
875144289856114688,19421,4160,9269944,146756,2017-06-15 00:13:52+00:00
875097192612077568,24261,5122,9269945,146756,2017-06-14 21:06:43+00:00
875021211251597312,22564,3980,9269945,146756,2017-06-14 16:04:48+00:00
874680097055178752,24601,3925,9269945,146756,2017-06-13 17:29:20+00:00
874434818259525634,0,12226,9269945,146756,2017-06-13 01:14:41+00:00
874296783580663808,22976,3487,9270025,146760,2017-06-12 16:06:11+00:00
874057562936811520,20135,3383,9270025,146760,2017-06-12 00:15:36+00:00
874012996292530176,30144,8603,9269945,146756,2017-06-11 21:18:31+00:00
873580283840344065,21392,3345,9269945,146756,2017-06-10 16:39:04+00:00
873337748698140672,0,1333,9269945,146756,2017-06-10 00:35:19+00:00
873213775632977920,6324,1333,9270025,146760,2017-06-09 16:22:42+00:00
872967104147763200,24090,4569,9270025,146760,2017-06-09 00:02:31+00:00
872820683541237760,13066,3170,9270025,146760,2017-06-08 14:20:41+00:00
872620804844003328,18329,3071,9269945,146756,2017-06-08 01:06:27+00:00
872486979161796608,36110,7726,9269945,146756,2017-06-07 16:14:40+00:00
872122724285648897,30244,6838,9270025,146760,2017-06-06 16:07:15+00:00
871879754684805121,33122,9260,9269945,146756,2017-06-06 00:01:46+00:00
871762521631449091,17894,2973,9269945,146756,2017-06-05 16:15:56+00:00
871515927908634625,17906,2946,9270025,146760,2017-06-04 23:56:03+00:00
871166179821445120,0,4898,9269945,146756,2017-06-04 00:46:17+00:00
871102520638267392,18555,4690,9270025,146760,2017-06-03 20:33:19+00:00
871032628920680449,20173,3230,9269945,146756,2017-06-03 15:55:36+00:00
870804317367881728,29825,5289,9269945,146756,2017-06-03 00:48:22+00:00
870726314365509632,105,3,9269945,146756,2017-06-02 19:38:25+00:00
870656317836468226,10895,2214,9270025,146760,2017-06-02 15:00:16+00:00
870374049280663552,73995,22769,9269945,146756,2017-06-01 20:18:38+00:00
870308999962521604,19486,3554,9270025,146760,2017-06-01 16:00:09+00:00
870063196459192321,32454,7083,9269566,146756,2017-05-31 23:43:25+00:00
869772420881756160,38037,8707,9270025,146760,2017-05-31 04:27:59+00:00
869702957897576449,25087,5391,9270025,146760,2017-05-30 23:51:58+00:00
869596645499047938,14217,2642,9270025,146760,2017-05-30 16:49:31+00:00
869227993411051520,18144,3202,9269945,146756,2017-05-29 16:24:37+00:00
868880397819494401,57993,12276,9270025,146760,2017-05-28 17:23:24+00:00
868639477480148993,0,1757,9270025,146760,2017-05-28 01:26:04+00:00
868622495443632128,23657,4482,9269945,146756,2017-05-28 00:18:35+00:00
868552278524837888,8976,1757,9270025,146760,2017-05-27 19:39:34+00:00
867900495410671616,21613,3579,9270025,146760,2017-05-26 00:29:37+00:00
867774946302451713,30280,6263,9269945,146756,2017-05-25 16:10:44+00:00
867421006826221569,14353,2119,9269945,146756,2017-05-24 16:44:18+00:00
867072653475098625,0,101,9270025,146760,2017-05-23 17:40:04+00:00
867051520902168576,28727,6795,9269945,146756,2017-05-23 16:16:06+00:00
866720684873056260,17894,4136,9270025,146760,2017-05-22 18:21:28+00:00
866686824827068416,17140,2975,9270026,146760,2017-05-22 16:06:55+00:00
866450705531457537,108939,30253,9270026,146760,2017-05-22 00:28:40+00:00
866334964761202691,46653,12226,9269946,146756,2017-05-21 16:48:45+00:00
866094527597207552,0,7175,9269946,146756,2017-05-21 00:53:21+00:00
865718153858494464,22944,4859,9270026,146760,2017-05-19 23:57:46+00:00
865359393868664832,23616,4299,9269946,146756,2017-05-19 00:12:11+00:00
865006731092295680,25054,6686,9270026,146760,2017-05-18 00:50:50+00:00
864873206498414592,28878,7503,9269946,146756,2017-05-17 16:00:15+00:00
